source_row,set,bin,k,q_squared,x_b,t,phi_deg,phi,unp_beam_unp_target_xsec,unp_beam_unp_target_xsec_err,unp_beam_unp_target_xsec_errstat,unp_beam_unp_target_xsec_errsyst_plus,unp_beam_unp_target_xsec_errsyst_minus,xsec_diff,xsec_diff_err,xsec_diff_errstat,xsec_diff_errsyst_plus,xsec_diff_errsyst_minus,bsa_from_central_values,experiment_year,experiment,link,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS
20,2,8,5.55,1.51,0.359,-0.237,255.0,-1.8325957145940461,0.0889,0.006281153320848012,0.0056,0.0028448,0.0028448,-0.0114,0.005512084817925065,0.0055,0.0003648,0.0003648,-0.12823397075365578,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
21,2,9,5.55,1.51,0.359,-0.237,285.0,-1.3089969389957472,0.1007,0.006547813509867244,0.0057,0.0032224,0.0032224,-0.0115,0.005911465469746059,0.0059,0.000368,0.000368,-0.11420059582919563,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
22,2,10,5.55,1.51,0.359,-0.237,315.0,-0.7853981633974483,0.1045,0.006436795476011336,0.0055,0.003344,0.003344,-0.0199,0.00623261696560923,0.0062,0.0006368,0.0006368,-0.1904306220095694,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
23,2,11,5.55,1.51,0.359,-0.237,345.0,-0.2617993877991494,0.1229,0.007090621682194024,0.0059,0.0039328,0.0039328,0.00169,0.006800215044129119,0.0068,5.408e-05,5.408e-05,0.013751017087062653,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
24,3,0,5.55,1.52,0.361,-0.298,15.0,0.2617993877991494,0.1074,0.009354228682259162,0.0087,0.0034368,0.0034368,0.00557,0.008101960842758991,0.0081,0.00017824,0.00017824,0.05186219739292366,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
25,3,1,5.55,1.52,0.361,-0.298,45.0,0.7853981633974483,0.085,0.006587746200332857,0.006,0.00272,0.00272,0.00829,0.006405495568525514,0.0064,0.00026528,0.00026528,0.09752941176470588,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
26,3,2,5.55,1.52,0.361,-0.298,75.0,1.3089969389957472,0.0706,0.0061313933685582436,0.0057,0.0022592,0.0022592,0.0176,0.00602637488379208,0.006,0.0005632,0.0005632,0.2492917847025496,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
27,3,3,5.55,1.52,0.361,-0.298,105.0,1.8325957145940461,0.0635,0.006240114101520901,0.0059,0.002032,0.002032,0.0112,0.0059108756170300186,0.0059,0.0003584,0.0003584,0.1763779527559055,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
28,3,4,5.55,1.52,0.361,-0.298,135.0,2.356194490192345,0.0658,0.006737473663028301,0.0064,0.0021056,0.0021056,0.00475,0.005702026306498419,0.0057,0.000152,0.000152,0.07218844984802432,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
29,3,5,5.55,1.52,0.361,-0.298,165.0,2.8797932657906435,0.0603,0.008423975080684891,0.0082,0.0019296,0.0019296,-0.00268,0.006600557156604282,0.0066,8.576e-05,8.576e-05,-0.044444444444444446,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
