set,n,chi2_per_point,k,q_squared,x_b,t
338,24,0.6306944862001753,7.383,3.18,0.364,-0.585781369
30,18,0.6281508587775826,5.75,1.27,0.154,-0.15
49,18,0.6187495674123576,5.75,1.63,0.185,-0.2
56,22,0.614214938120027,5.75,1.64,0.214,-0.26
202,16,0.6080628965976079,5.88,1.669,0.186,-1.381
341,24,0.6077332923833016,8.521,3.669,0.369,-0.330337229
349,24,0.6063244310273738,4.487,2.707,0.483,-0.34805523
132,16,0.6061124110560302,5.75,3.77,0.475,-0.45
335,24,0.6002977410166985,7.383,3.169,0.363,-0.296641104
82,14,0.596865554684987,5.75,1.94,0.275,-0.45
359,24,0.5849722537004906,8.847,5.331,0.482,-0.385372291
264,16,0.5813600595394971,5.88,2.1630000000000003,0.305,-0.871
130,12,0.5803276854020082,5.75,3.5,0.43,-0.28
152,20,0.5737309491882774,5.7572,2.194,0.343,-0.278
358,24,0.5662310356888112,8.851,4.593,0.508,-0.707314051
81,18,0.5661510055985718,5.75,1.94,0.275,-0.34
372,24,0.5631166917516509,8.521,5.653,0.617,-1.189621856
12,12,0.5609114531977561,3.355,1.49,0.357,-0.177
155,24,0.5591923835019691,5.7572,2.348,0.368,-0.279
52,18,0.5574976338750436,5.75,1.63,0.185,-0.45
343,24,0.5571718393468316,8.521,3.679,0.37,-0.480519034
80,19,0.5450672747644125,5.75,1.94,0.274,-0.26
142,24,0.5373133411944354,5.7572,1.999,0.381,-0.371
112,15,0.5315329116444604,5.75,2.35,0.365,-0.26
16,24,0.5283990009737786,4.455,1.74,0.357,-0.24
75,20,0.5219954156114212,5.75,2.12,0.245,-0.34
147,24,0.5151847480850226,5.7572,2.091,0.401,-0.371
265,17,0.5103315363892454,5.88,2.161,0.305,-1.391
115,17,0.5071367446458256,5.75,2.97,0.364,-0.2
371,24,0.5028574557848454,8.521,5.638,0.615,-1.048158824
48,18,0.5003045185455424,5.75,1.63,0.185,-0.15
47,18,0.49736457838999176,5.75,1.62,0.185,-0.11
351,24,0.4937979935800369,4.487,2.713,0.484,-0.435055174
139,24,0.4908735529679973,5.7572,1.933,0.368,-0.232
298,17,0.4856301225393459,5.88,2.425,0.365,-0.871
34,20,0.4712353035758074,5.75,1.27,0.154,-0.45
5,24,0.4703243829858092,5.55,1.74,0.359,-0.242
8,24,0.4628836525309772,5.55,1.98,0.357,-0.182
10,24,0.4623622266669815,5.55,1.98,0.356,-0.302
365,24,0.4589721492852903,10.992,7.093,0.498,-0.525571333
62,18,0.4555880418399389,5.75,1.88,0.215,-0.26
11,24,0.4499752708076418,5.55,1.99,0.358,-0.363
18,24,0.4459072329216263,4.455,1.76,0.361,-0.363
354,24,0.4386152762661748,8.851,4.497,0.497,-0.409743989
54,24,0.43739074357489355,5.75,1.64,0.214,-0.15
145,24,0.4300599943890426,5.7572,2.074,0.398,-0.279
7,24,0.41125111349209,5.55,1.75,0.361,-0.363
6,24,0.3980388187507864,5.55,1.74,0.359,-0.302
340,24,0.39613934878941093,8.521,3.653,0.367,-0.265805007
36,16,0.3890805256040937,5.75,1.39,0.155,-0.15
89,8,0.3854162354449976,5.75,2.08,0.301,-0.12
373,24,0.38193349101939605,8.521,5.659,0.616,-1.37317495
337,24,0.3552829916250128,7.383,3.184,0.365,-0.47089589
138,24,0.35222672595291904,5.7572,1.82,0.343,-0.172
13,12,0.3518602045953871,3.355,1.5,0.359,-0.236
92,17,0.3485773957595654,5.75,2.1,0.304,-0.26
14,10,0.3425453581126642,3.355,1.5,0.36,-0.296
346,24,0.33506019070737536,10.591,4.574,0.372,-0.335577073
370,24,0.330537279465013,8.521,5.617,0.612,-0.904134479
3,12,0.31294460765251203,5.55,1.52,0.361,-0.298
2,12,0.30773586784467305,5.55,1.51,0.359,-0.237
95,2,0.2438327532708315,5.75,2.56,0.301,-0.12
314,11,0.20598936518743924,5.88,2.548,0.4,-1.416
