set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2
355,E12-06-114 Hall A,8.851,4.528,0.501,-0.479541698,-0.94088674,4.1538014,0.02609032,0.046562973,0.09225960591310851,0.0740210680709643,0.0831403369920364
356,E12-06-114 Hall A,8.851,4.558,0.504,-0.547491577,-0.9074727,3.87996,0.068106726,0.0427667,0.21130302756078181,0.0659193471054489,0.13861118733311537
359,E12-06-114 Hall A,8.847,5.331,0.482,-0.385372291,-0.24893878,2.9114137,0.057945624,0.09362538,0.027466301635596362,0.027301441858909137,0.02738387174725275
360,E12-06-114 Hall A,8.847,5.339000000000001,0.48299999999999993,-0.44559886900000006,-0.9960996,3.1769004,0.064996466,0.045688424,0.06274129085889923,0.0857144273042421,0.07422785908157067
361,E12-06-114 Hall A,8.847,5.36,0.48500000000000004,-0.508514038,-1.1641123,3.2965224,0.04605881,0.021372953,0.07247071825703368,0.07634684003064042,0.07440877914383705
362,E12-06-114 Hall A,8.847,5.3709999999999996,0.486,-0.56958964,-1.0160183,3.2778842,0.02338088,0.010415636,0.08904887881040464,0.1317370386670403,0.11039295873872249
363,E12-06-114 Hall A,8.847,5.3790000000000004,0.486,-0.654643764,-0.5366399,3.1346922,0.06270693,0.022074256,0.17887614913234703,0.34247292782032596,0.2606745384763365
364,E12-06-114 Hall A,10.991999999999999,7.044,0.494,-0.432560756,-1.1182132,2.3352017,0.03023546,0.01713318,0.12488820628205533,0.13993402335393426,0.13241111481799478
365,E12-06-114 Hall A,10.991999999999999,7.093,0.498,-0.525571333,-1.3779409,2.8997312,0.023107765,0.04108485,0.03396430244079693,0.06017479474896281,0.04706954859487987
366,E12-06-114 Hall A,10.991999999999999,7.114999999999999,0.49899999999999994,-0.612896976,-1.1606295,2.9984665,0.053448994,0.021816045,0.09302295431787855,0.03739348127151685,0.0652082177946977
367,E12-06-114 Hall A,10.991999999999999,7.105999999999999,0.49899999999999994,-0.697854847,-0.8346647,2.9097564,0.08225741,0.035211813,0.14309935159916173,0.1267354263823951,0.13491738899077843
368,E12-06-114 Hall A,10.991999999999997,7.102000000000001,0.4979999999999998,-0.8556131640000002,0.049718827,2.8573856,0.057862222,0.011295017,0.3140879690092665,0.520869412151288,0.41747869058027726
369,E12-06-114 Hall A,8.521,5.604,0.61,-0.764596036,-0.0796414,2.9034963,0.044284042,0.012942136,0.0973721805081653,0.0159445383626622,0.05665835943541375
370,E12-06-114 Hall A,8.521,5.617,0.612,-0.904134479,-0.38827902,2.7494762,0.057314306,0.00635812,0.4324218377057125,0.057164734190569534,0.24479328594814104
