set,n,chi2_per_point,pull_rms,median_abs_pull,max_abs_pull
85,23,0.8968075963998835,0.946999258922563,0.7226834103201225,2.0290668009122856
86,22,0.47644461775134983,0.6902496778350207,0.5229931663989684,1.4488289749551502
87,20,0.9017414259226536,0.9496006665555019,0.4966851193274702,1.7839942307370635
88,20,0.6431464528923285,0.8019641219483129,0.6910943839902934,1.320623908026604
89,8,0.32152393935345447,0.567030809880252,0.5895976018053756,0.8118630996756465
90,12,0.29568813717375403,0.5437721371804132,0.4992680385987358,0.7660244636850322
91,21,0.2608682158334605,0.5107525974808748,0.3881118026405454,1.048133206888598
92,17,1.07580742170335,1.037211367901138,0.6479373091624728,2.250942570081364
93,15,0.5860100218383184,0.7655129142204712,0.5033818190464291,1.4479674620722462
94,14,0.9016310686154166,0.9495425575588577,0.5044245284314238,1.9643398835806392
95,2,0.2193593901262178,0.46835818571496945,0.4570502387121055,0.5593462279757381
96,12,3.8549321262824496,1.963398106926471,1.709774246944419,3.1172153619845493
97,24,0.7476588376181134,0.8646726765765838,0.6823227705087562,1.8698813310941116
98,24,0.5041761604935692,0.7100536321247637,0.23600651693051905,1.9170977926773436
99,22,0.6664728391605534,0.8163778776770922,0.7367727907206159,1.6042429814753938
100,20,0.815961634079591,0.9033059471073968,0.768153207331064,1.7178324495117032
101,8,0.703965363795808,0.8390264380791632,0.5007980527998384,1.8736341900463638
102,16,0.9068345149219662,0.9522785910236385,0.7476256891352586,1.7351687085536502
103,15,0.5862359268257414,0.7656604513919609,0.4562898555302147,1.6668324327226347
104,12,0.3655197788121732,0.6045823176476245,0.44049146723147625,1.3374229466600842
105,13,0.8759617319129547,0.9359282728462447,0.6556529166069603,2.2763516599429594
106,4,1.1501822093175451,1.072465481643836,1.1154694181362181,1.417889946365553
107,24,0.7838291202621207,0.8853412450926031,0.5446514143057004,1.795110064783069
108,24,0.5074906738684463,0.7123837967475442,0.49806457901041956,1.6282404375433062
109,24,0.5059380135744419,0.7112931980375194,0.4213137277372008,1.4814265522481627
110,22,0.254061072919809,0.5040447132148189,0.33133339567737286,1.298596569299437
111,15,0.7340669134869703,0.8567770500468429,0.7780828858974218,1.547015101519388
112,15,0.6568052878777515,0.8104352459498239,0.5976739215588549,1.6969607993123046
113,13,0.5928520529589737,0.7699688649282993,0.39140569916824586,1.701206233384869
114,11,1.0981582688194997,1.047930469458494,0.4888968174253193,2.9506555952985156
115,17,0.9403163701585202,0.9696991132091027,0.40848133394193764,2.720812108038864
116,20,0.6359183601108672,0.7974448947174139,0.40826541141692313,1.8099394828267372
117,24,0.6207504772550302,0.787877196811172,0.4838724163514604,2.1614622695516243
118,23,0.7547405393194325,0.8687580441753806,0.6035930590691359,2.308135742997975
119,7,0.2610970872671744,0.5109766014869707,0.47583245013605907,0.9479246140552245
120,12,0.41144221063703595,0.6414376124277683,0.4269552333630851,1.1821981323556032
121,11,1.1428205432964609,1.0690278496355747,0.6546829457125333,2.0470855340753182
122,10,0.18282074492811698,0.427575426010566,0.3352025137524768,0.7977217365047802
123,11,0.5244158326970235,0.7241656113742377,0.7351621813991644,1.2629401391197501
124,16,0.6563246170336726,0.810138640624969,0.39861564555965345,1.7840713586744237
125,21,0.44951212586892664,0.6704566547279001,0.3173866690578273,1.7750499169525449
126,22,0.45571961147851087,0.6750700789388542,0.43621311415763186,1.696507336982056
127,9,1.4611330267338873,1.2087733562309715,0.888070366012723,2.6242599853631527
128,10,1.3740203058138165,1.1721861225137484,0.9985465778842013,2.426483583694318
129,14,1.4871460670820302,1.2194859847829453,0.6652450872316541,2.8627797308491942
130,12,0.6854720902692519,0.8279324189022024,0.4212350052378364,1.9620976070305314
131,15,0.4986133996476801,0.7061256259672779,0.27004993602148336,1.5777998388165506
132,16,0.8405806807683175,0.9168318715927787,0.7799307647164557,1.7612570972398038
138,24,0.8033038325607526,0.8962721866490964,0.5171694122825614,2.549799989619576
139,24,0.841428798586059,0.9172942813438112,0.6477029205306535,2.3681618155438833
140,24,0.6577741002101382,0.8110327368301098,0.44706846948144363,1.8430788573949275
141,24,0.7840853729568072,0.8854859529980175,0.6385461756602655,2.587753093147126
142,24,1.1216336840210317,1.0590720863194496,0.6585729386474796,2.207793677145168
143,24,0.44722392774905684,0.6687480300898514,0.378969513609541,1.4697903774311891
144,24,0.7151590381458489,0.8456707622626248,0.5057087756713474,1.5380986704369832
145,24,0.7579897041134718,0.8706260414859366,0.7354567806125105,2.325836748331156
146,24,0.79731782179286,0.8929265489349391,0.6189307178549661,2.134593225513559
147,24,0.5781155943777323,0.7603391311630174,0.5915622047821343,1.7386822123683237
148,24,1.3834576709154731,1.1762047742274613,0.8856809895950604,2.2887158712039386
149,24,1.301712568005011,1.1409261886752406,0.5002091769145773,2.995110466773167
150,20,1.5449378003191074,1.2429552688327554,1.007747438189377,2.939114411724315
151,20,0.5515899690552475,0.7426910320282907,0.5541469303388107,1.9696593560555118
152,20,1.5300157763269162,1.2369380648710413,0.8339285390080202,3.221296394013485
153,24,0.9289780544207543,0.9638350763594123,0.5583672383824068,1.9250524322557814
154,24,0.7146147166840575,0.8453488727644093,0.5153221691326546,2.2256409529852963
155,24,1.6381569546652246,1.2799050568949342,0.7474171835569998,3.424268319776391
156,24,1.0248685659893477,1.012357923853687,0.7172538899758246,2.785651245129267
157,24,0.5162713796967547,0.7185202709017713,0.6159704733330774,1.3555869681409076
158,16,0.827098667398153,0.9094496508318385,0.537086753195555,1.9378993275913687
159,16,1.3279493615379763,1.152366851978126,0.8978673563452026,2.1166397750609494
160,15,1.2812176112538662,1.1319088352221067,0.9549386857592123,1.9566358244003865
161,18,1.3137548537326655,1.146191455967399,0.5452472953506162,3.037262521721876
162,17,1.2342308615139757,1.1109594328840164,0.8154166058720786,2.2113129910338043
163,20,1.6007148633641208,1.2651936070673613,0.9152482411645815,2.8712609961116193
164,20,1.4095218169281543,1.1872328402331844,0.6929560210645453,2.1869467316589106
165,21,1.6544781679540412,1.2862652012528526,1.125129591808812,2.1394172575031702
166,16,1.0080431699452086,1.0040135307580316,0.7214801055001179,2.3551887761476014
